20-03-31 21:14:51    Console Log Started
20-03-31 21:14:51 Welcome to Soldat 1.7.1
20-03-31 21:14:51  [*] Preparing scripts to be launched
20-03-31 21:14:51  [*] Done
20-03-31 21:14:51 ctf_Ash by chakapoko maker
20-03-31 21:14:51  Connection for file server started. Port: 23083
20-03-31 21:14:51 Registering server @ 88.99.234.252
20-03-31 21:15:02 Registering server @ 88.99.234.252
20-03-31 21:15:12 Registering server @ 88.99.234.252
20-03-31 21:15:22 Registering server @ 88.99.234.252
20-03-31 21:15:32 Registering server @ 88.99.234.252
20-03-31 21:15:42 Registering server @ 88.99.234.252
20-03-31 21:15:52 Registering server @ 88.99.234.252
20-03-31 21:16:02 Registering server @ 88.99.234.252
20-03-31 21:16:12 Registering server @ 88.99.234.252
20-03-31 21:16:22 Registering server @ 88.99.234.252
20-03-31 21:16:32 Registering server @ 88.99.234.252
20-03-31 21:16:42 Registering server @ 88.99.234.252
20-03-31 21:16:52 Registering server @ 88.99.234.252
20-03-31 21:17:02 Registering server @ 88.99.234.252
20-03-31 21:17:12 Registering server @ 88.99.234.252
20-03-31 21:17:22 Registering server @ 88.99.234.252
20-03-31 21:17:32 Registering server @ 88.99.234.252
20-03-31 21:17:42 Registering server @ 88.99.234.252
20-03-31 21:17:52 Registering server @ 88.99.234.252
20-03-31 21:18:02 Registering server @ 88.99.234.252
20-03-31 21:18:12 Registering server @ 88.99.234.252
20-03-31 21:18:22 Registering server @ 88.99.234.252
20-03-31 21:18:32 Registering server @ 88.99.234.252
20-03-31 21:18:42 Registering server @ 88.99.234.252
20-03-31 21:18:52 Registering server @ 88.99.234.252
20-03-31 21:19:02 Registering server @ 88.99.234.252
20-03-31 21:19:12 Registering server @ 88.99.234.252
20-03-31 21:19:22 Registering server @ 88.99.234.252
20-03-31 21:19:32 Registering server @ 88.99.234.252
20-03-31 21:19:42 Registering server @ 88.99.234.252
20-03-31 21:19:51 Time Left: 5 minutes
20-03-31 21:19:52 Registering server @ 88.99.234.252
20-03-31 21:20:02 Registering server @ 88.99.234.252
20-03-31 21:20:12 Registering server @ 88.99.234.252
