20-06-20 07:05:01    Log Started
20-06-20 07:05:01 Opened /home/kader_b/Publico/soldat.ini
20-06-20 07:05:01 Creating network interface.
20-06-20 07:05:01 Loading Animations.
20-06-20 07:05:01 Loading Lobby Servers List
20-06-20 07:05:01 Loading Maps List
20-06-20 07:05:01 Loading Map.
20-06-20 07:05:01 Creating Weapons.
20-06-20 07:05:01 Starting Game Server.
20-06-20 07:05:01 TCP/IP File Server started
20-06-20 07:35:02 TCP/IP File Server started
20-06-20 08:05:02 TCP/IP File Server started
20-06-20 08:35:02 TCP/IP File Server started
20-06-20 09:05:02 TCP/IP File Server started
20-06-20 09:35:02 TCP/IP File Server started
20-06-20 10:05:02 TCP/IP File Server started
20-06-20 10:35:02 TCP/IP File Server started
20-06-20 11:05:02 TCP/IP File Server started
20-06-20 11:35:02 TCP/IP File Server started
20-06-20 12:05:02 TCP/IP File Server started
20-06-20 12:35:02 TCP/IP File Server started
20-06-20 13:05:02 TCP/IP File Server started
20-06-20 13:35:02 TCP/IP File Server started
20-06-20 14:05:02 TCP/IP File Server started
20-06-20 14:35:02 TCP/IP File Server started
20-06-20 15:05:02 TCP/IP File Server started
20-06-20 15:35:02 TCP/IP File Server started
20-06-20 16:05:02 TCP/IP File Server started
20-06-20 16:35:02 TCP/IP File Server started
20-06-20 17:05:02 TCP/IP File Server started
20-06-20 17:35:02 TCP/IP File Server started
20-06-20 18:05:02 TCP/IP File Server started
20-06-20 18:35:02 TCP/IP File Server started
20-06-20 19:05:02 TCP/IP File Server started
20-06-20 19:35:02 TCP/IP File Server started
20-06-20 20:05:02 TCP/IP File Server started
20-06-20 20:35:02 TCP/IP File Server started
20-06-20 21:05:02 TCP/IP File Server started
20-06-20 21:35:02 TCP/IP File Server started
20-06-20 22:05:02 TCP/IP File Server started
20-06-20 22:35:02 TCP/IP File Server started
20-06-20 23:05:02 TCP/IP File Server started
20-06-20 23:35:02 TCP/IP File Server started
20-06-21 00:05:02 TCP/IP File Server started
20-06-21 00:35:02 TCP/IP File Server started
