20-05-01 21:15:01    Log Started
20-05-01 21:15:01 Opened /home/kader_b/int3/soldat.ini
20-05-01 21:15:01 Creating network interface.
20-05-01 21:15:01 Loading Animations.
20-05-01 21:15:01 Loading Lobby Servers List
20-05-01 21:15:01 Loading Maps List
20-05-01 21:15:01 Loading Map.
20-05-01 21:15:01 Creating Weapons.
20-05-01 21:15:01 Starting Game Server.
20-05-01 21:15:01 TCP/IP File Server started
20-05-01 21:45:02 TCP/IP File Server started
20-05-01 22:15:02 TCP/IP File Server started
20-05-01 22:45:02 TCP/IP File Server started
20-05-01 23:15:02 TCP/IP File Server started
20-05-01 23:45:02 TCP/IP File Server started
20-05-02 00:15:02 TCP/IP File Server started
20-05-02 00:45:02 TCP/IP File Server started
20-05-02 01:15:02 TCP/IP File Server started
20-05-02 01:45:02 TCP/IP File Server started
20-05-02 02:15:02 TCP/IP File Server started
20-05-02 02:45:02 TCP/IP File Server started
20-05-02 03:15:02 TCP/IP File Server started
20-05-02 03:45:02 TCP/IP File Server started
20-05-02 04:15:02 TCP/IP File Server started
20-05-02 04:45:02 TCP/IP File Server started
20-05-02 05:15:02 TCP/IP File Server started
20-05-02 05:45:02 TCP/IP File Server started
20-05-02 06:15:02 TCP/IP File Server started
20-05-02 06:45:02 TCP/IP File Server started
20-05-02 07:15:02 TCP/IP File Server started
20-05-02 07:45:02 TCP/IP File Server started
20-05-02 08:15:02 TCP/IP File Server started
20-05-02 08:45:02 TCP/IP File Server started
20-05-02 09:15:02 TCP/IP File Server started
20-05-02 09:45:02 TCP/IP File Server started
20-05-02 10:15:02 TCP/IP File Server started
20-05-02 10:45:02 TCP/IP File Server started
20-05-02 11:15:02 TCP/IP File Server started
20-05-02 11:45:02 TCP/IP File Server started
20-05-02 12:15:02 TCP/IP File Server started
20-05-02 12:45:02 TCP/IP File Server started
20-05-02 13:15:02 TCP/IP File Server started
20-05-02 13:45:02 TCP/IP File Server started
20-05-02 14:15:02 TCP/IP File Server started
20-05-02 14:45:02 TCP/IP File Server started
20-05-02 15:15:02 TCP/IP File Server started
20-05-02 15:45:02 TCP/IP File Server started
20-05-02 16:15:02 TCP/IP File Server started
20-05-02 16:45:02 TCP/IP File Server started
20-05-02 17:15:02 TCP/IP File Server started
20-05-02 17:45:02 TCP/IP File Server started
20-05-02 18:15:02 TCP/IP File Server started
20-05-02 18:45:02 TCP/IP File Server started
20-05-02 19:15:02 TCP/IP File Server started
20-05-02 19:45:02 TCP/IP File Server started
20-05-02 20:15:02 TCP/IP File Server started
20-05-02 20:45:02 TCP/IP File Server started
20-05-02 21:15:02 TCP/IP File Server started
20-05-02 21:45:02 TCP/IP File Server started
20-05-02 22:15:02 TCP/IP File Server started
20-05-02 22:45:02 TCP/IP File Server started
20-05-02 23:15:02 TCP/IP File Server started
20-05-02 23:45:02 TCP/IP File Server started
20-05-03 00:15:02 TCP/IP File Server started
20-05-03 00:45:02 TCP/IP File Server started
20-05-03 01:15:02 TCP/IP File Server started
20-05-03 01:45:02 TCP/IP File Server started
20-05-03 02:15:02 TCP/IP File Server started
20-05-03 02:45:02 TCP/IP File Server started
20-05-03 03:15:02 TCP/IP File Server started
20-05-03 03:45:02 TCP/IP File Server started
20-05-03 04:15:02 TCP/IP File Server started
20-05-03 04:45:02 TCP/IP File Server started
20-05-03 05:15:02 TCP/IP File Server started
20-05-03 05:45:02 TCP/IP File Server started
20-05-03 06:15:02 TCP/IP File Server started
20-05-03 06:45:02 TCP/IP File Server started
20-05-03 07:15:02 TCP/IP File Server started
20-05-03 07:45:02 TCP/IP File Server started
20-05-03 08:15:02 TCP/IP File Server started
20-05-03 08:45:02 TCP/IP File Server started
20-05-03 09:15:02 TCP/IP File Server started
20-05-03 09:45:02 TCP/IP File Server started
20-05-03 10:15:02 TCP/IP File Server started
20-05-03 10:45:02 TCP/IP File Server started
20-05-03 11:15:02 TCP/IP File Server started
20-05-03 11:45:02 TCP/IP File Server started
20-05-03 12:15:02 TCP/IP File Server started
20-05-03 12:45:02 TCP/IP File Server started
20-05-03 13:15:06 TCP/IP File Server started
20-05-03 13:45:06 TCP/IP File Server started
20-05-03 14:15:06 TCP/IP File Server started
20-05-03 14:45:07 TCP/IP File Server started
